2001	Information 	Unknown 	2022-01-03 08:24:58 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:33:45 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:33:45 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:34:41 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:34:41 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:34:41 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:36:34 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:36:34 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:36:34 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:37:06 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:37:06 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:37:06 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:37:28 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:37:28 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:37:28 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:38:22 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:38:22 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:38:22 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:38:25 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:38:25 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:38:25 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:44:48 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:44:48 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:44:48 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:45:01 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:45:01 	The 'SELECT * FROM categories' query executed successfully 
2003	Information 	Unknown 	2022-01-03 08:45:01 	The 'SELECT * FROM categories' query executed successfully 
2003	Information 	Unknown 	2022-01-03 08:45:01 	The 'SELECT * FROM printers' query executed successfully 
2003	Information 	Unknown 	2022-01-03 08:45:01 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:45:01 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:45:06 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:45:06 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:45:06 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:45:12 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:45:12 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:45:12 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:45:17 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:45:17 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:45:17 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:45:23 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:45:23 	The 'SELECT * FROM categories' query executed successfully 
2003	Information 	Unknown 	2022-01-03 08:45:23 	The 'SELECT * FROM categories' query executed successfully 
2003	Information 	Unknown 	2022-01-03 08:45:23 	The 'SELECT * FROM printers' query executed successfully 
2003	Information 	Unknown 	2022-01-03 08:45:23 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:45:23 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:45:30 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:45:30 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:45:30 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:45:40 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:45:40 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:45:40 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:45:48 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:45:48 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:45:48 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:45:55 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:45:55 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:45:55 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:46:02 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:46:02 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:46:02 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:56:58 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:56:58 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:56:58 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:57:09 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:57:09 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:57:09 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:57:15 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:57:15 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:57:15 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 09:07:02 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 09:07:02 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 09:07:02 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 09:07:14 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 09:07:14 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 09:07:14 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 09:35:52 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 09:35:52 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 09:35:52 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 11:22:04 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 11:22:04 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 11:22:04 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 11:22:18 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 11:22:18 	The 'SELECT * FROM categories' query executed successfully 
2003	Information 	Unknown 	2022-01-03 11:22:18 	The 'SELECT * FROM categories' query executed successfully 
2003	Information 	Unknown 	2022-01-03 11:22:18 	The 'SELECT * FROM printers' query executed successfully 
2003	Information 	Unknown 	2022-01-03 11:22:18 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 11:22:18 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 11:22:31 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 11:22:31 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 11:22:31 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 11:22:38 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 11:22:38 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 11:22:38 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 11:22:44 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 11:22:44 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 11:22:44 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-04 13:06:41 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-04 13:06:41 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:06:41 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:06:41 	The 'SELECT * FROM anonymous' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:06:41 	The 'INSERT INTO anonymous (id, ip, anattempt, timestamp) VALUES (?,?,?,?)' query executed successfully 
2002	Information 	Unknown 	2022-01-04 13:06:41 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-04 13:10:21 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-04 13:10:21 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:10:21 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:10:21 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:10:21 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-04 13:10:21 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-04 13:15:10 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-04 13:15:10 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:15:10 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:15:10 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:15:10 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-04 13:15:10 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-04 13:15:25 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-04 13:15:25 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:15:25 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:15:25 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:15:25 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-04 13:15:25 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-04 13:15:59 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-04 13:15:59 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:15:59 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:15:59 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:15:59 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-04 13:15:59 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-04 13:16:15 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-04 13:16:15 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:16:15 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:16:15 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-04 13:16:15 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-04 13:16:31 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-04 13:16:31 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:16:31 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-04 13:16:31 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-04 13:16:31 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-05 23:21:45 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-05 23:21:45 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:21:45 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:21:45 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:21:45 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-05 23:21:45 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-05 23:24:51 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-05 23:24:51 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:24:51 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:24:51 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:24:51 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-05 23:24:51 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-05 23:27:49 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-05 23:27:49 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:27:49 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:27:49 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:27:49 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-05 23:27:49 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-05 23:31:43 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-05 23:31:43 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:31:43 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:31:43 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:31:43 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-05 23:31:43 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-05 23:31:51 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-05 23:31:51 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:31:51 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:31:51 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:31:51 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-05 23:31:51 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-05 23:32:00 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-05 23:32:00 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:32:00 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:32:00 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:32:00 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-05 23:32:00 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-05 23:32:23 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-05 23:32:23 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:32:23 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:32:23 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:32:23 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-05 23:32:23 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-05 23:32:38 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-05 23:32:38 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:32:38 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:32:38 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-05 23:32:38 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-05 23:38:00 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-05 23:38:00 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:38:00 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:38:00 	The 'SELECT * FROM anonymous' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:38:00 	The 'INSERT INTO anonymous (id, ip, anattempt, timestamp) VALUES (?,?,?,?)' query executed successfully 
2002	Information 	Unknown 	2022-01-05 23:38:00 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-05 23:54:56 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-05 23:54:56 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:54:56 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-05 23:54:56 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2001	Information 	Unknown 	2022-01-06 11:12:53 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-06 11:12:53 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:12:53 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:12:53 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:12:53 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:12:53 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:12:53 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-06 11:12:53 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-06 11:15:53 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-06 11:15:53 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:15:53 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:15:53 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:15:53 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:15:53 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:15:53 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-06 11:15:53 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-06 11:16:05 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-06 11:16:05 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:05 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:05 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:05 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:06 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:06 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-06 11:16:06 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-06 11:16:14 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-06 11:16:14 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:14 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:14 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:14 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:14 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:14 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-06 11:16:14 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-06 11:16:22 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-06 11:16:22 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:22 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:22 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:22 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:22 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:22 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-06 11:16:22 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-06 11:16:31 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-06 11:16:31 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:31 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:16:31 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-06 11:16:31 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-06 11:22:08 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-06 11:22:08 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:22:08 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:22:08 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:22:08 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:22:08 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:22:08 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-06 11:22:08 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-06 11:23:01 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-06 11:23:01 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:23:01 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:23:01 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:23:01 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:23:01 	The 'UPDATE users SET timestamp = ?, attempts = ? WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:23:01 	The 'UPDATE anonymous SET timestamp = ?, anattempt = ? WHERE ip = ?' query executed successfully 
2002	Information 	Unknown 	2022-01-06 11:23:01 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-06 11:23:08 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-06 11:23:08 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:23:08 	The 'SELECT * FROM users WHERE user = ?' query executed successfully 
2003	Information 	Unknown 	2022-01-06 11:23:08 	The 'SELECT * FROM anonymous WHERE ip = ?' query executed successfully 
